,prev2,prev1,WORD_ORC,next1,next2,WORD_TRUE,SAME
191,measures,would,be,ruled,on,be,True
192,would,be,ruled,on,march,ruled,True
193,be,ruled,on,march,the,on,True
194,ruled,on,march,the,senate,march,True
195,on,march,the,senate,approved,the,True
196,march,the,senate,approved,the,senate,True
197,the,senate,approved,the,gold,approved,True
198,senate,approved,the,gold,leglslatlon,the,True
199,approved,the,gold,leglslatlon,requlred,gold,True
200,the,gold,leglslatlon,requlred,by,legislation,False
201,gold,leglslatlon,requlred,by,the,required,False
202,leglslatlon,requlred,by,the,presldent,by,True
203,requlred,by,the,presldent,to,the,True
204,by,the,presldent,to,unplement,president,True
205,the,presldent,to,unplement,negotlated,to,True
206,presldent,to,unplement,negotlated,ynternatlonal,implement,False
207,to,unplement,negotlated,ynternatlonal,monetary,negotiated,False
208,unplement,negotlated,ynternatlonal,monetary,ments,international,False
209,negotlated,ynternatlonal,monetary,ments,cm,monetary,True
210,ynternatlonal,monetary,ments,cm,vvaafpa,ments,True
211,monetary,ments,cm,vvaafpa,a,cma,True
212,ments,cm,vvaafpa,a,the,qjhrqaa,False
213,cm,vvaafpa,a,the,senate,a,True
214,vvaafpa,a,the,senate,suscommrm,the,True
215,a,the,senate,suscommrm,on,senate,True
216,the,senate,suscommrm,on,the,subcommittee,False
217,senate,suscommrm,on,the,begun,on,True
218,suscommrm,on,the,begun,executlve,the,True
219,on,the,begun,executlve,sesslon,begun,True
220,the,begun,executlve,sesslon,conslderatlon,executive,False
221,begun,executlve,sesslon,conslderatlon,of,session,True
222,executlve,sesslon,conslderatlon,of,pendlng,consideration,False
223,sesslon,conslderatlon,of,pendlng,toxlc,of,True
224,conslderatlon,of,pendlng,toxlc,substances,pending,False
225,of,pendlng,toxlc,substances,on,toxic,False
226,pendlng,toxlc,substances,on,february,substances,True
227,toxlc,substances,on,february,the,on,True
228,substances,on,february,the,subcommlttee,february,True
229,on,february,the,subcommlttee,staff,the,True
230,february,the,subcommlttee,staff,made,subcommittee,False
231,the,subcommlttee,staff,made,publlc,staff,True
232,subcommlttee,staff,made,publlc,worklng,made,True
233,staff,made,publlc,worklng,draft,public,True
234,made,publlc,worklng,draft,we,working,False
235,publlc,worklng,draft,we,were,draft,True
236,worklng,draft,we,were,tnvmted,we,True
237,draft,we,were,tnvmted,to,were,True
238,we,were,tnvmted,to,submlt,invited,False
239,were,tnvmted,to,submlt,for,to,True
240,tnvmted,to,submlt,for,slderatlon,submit,True
241,to,submlt,for,slderatlon,a,for,True
242,submlt,for,slderatlon,a,memorandum,sideration,False
243,for,slderatlon,a,memorandum,deallng,a,True
244,slderatlon,a,memorandum,deallng,mm,memorandum,True
245,a,memorandum,deallng,mm,sectlon,dealing,False
246,memorandum,deallng,mm,sectlon,pm,with,True
247,deallng,mm,sectlon,pm,of,section,True
248,mm,sectlon,pm,of,that,xy,True
249,sectlon,pm,of,that,addltlonal,of,True
250,pm,of,that,addltlonal,changes,that,True
251,of,that,addltlonal,changes,and,additional,False
252,that,addltlonal,changes,and,luvprovements,changes,True
253,addltlonal,changes,and,luvprovements,were,and,True
254,changes,and,luvprovements,were,recommended,improvements,False
255,and,luvprovements,were,recommended,on,were,True
256,luvprovements,were,recommended,on,more,recommended,True
257,were,recommended,on,more,mlttee,in,True
258,recommended,on,more,mlttee,senator,more,True
259,on,more,mlttee,senator,willlam,mittee,True
260,more,mlttee,senator,willlam,spong,senator,True
261,mlttee,senator,willlam,spong,we,william,False
262,senator,willlam,spong,we,emphaslzed,spong,True
263,willlam,spong,we,emphaslzed,our,we,True
264,spong,we,emphaslzed,our,concern,emphasized,False
265,we,emphaslzed,our,concern,over,our,True
266,emphaslzed,our,concern,over,certaln,concern,True
267,our,concern,over,certaln,provlslons,over,True
268,concern,over,certaln,provlslons,relatlve,certain,True
269,over,certaln,provlslons,relatlve,m,provisions,False
270,certaln,provlslons,relatlve,m,premarket,relative,False
271,provlslons,relatlve,m,premarket,testlng,to,False
272,relatlve,m,premarket,testlng,of,premarket,True
273,m,premarket,testlng,of,chemlcal,testing,False
274,premarket,testlng,of,chemlcal,substances,of,True
275,testlng,of,chemlcal,substances,and,chemical,True
276,of,chemlcal,substances,and,polnted,substances,True
277,chemlcal,substances,and,polnted,out,and,True
278,substances,and,polnted,out,other,pointed,True
279,and,polnted,out,other,needed,out,True
280,polnted,out,other,needed,the,other,True
281,out,other,needed,the,house,needed,True
282,other,needed,the,house,public,the,True
283,needed,the,house,public,wows,house,True
284,the,house,public,wows,committee,public,True
285,house,public,wows,committee,anqbwted,works,False
286,public,wows,committee,anqbwted,for,committee,True
287,wows,committee,anqbwted,for,some,insisted,False
288,committee,anqbwted,for,some,time,for,True
289,anqbwted,for,some,time,that,some,True
290,for,some,time,that,the,time,True
291,some,time,that,the,language,that,True
292,time,that,the,language,of,the,True
293,that,the,language,of,the,language,True
294,the,language,of,the,pendlng,of,True
295,language,of,the,pendlng,federal,the,True
296,of,the,pendlng,federal,water,pending,False
297,the,pendlng,federal,water,pollutlon,federal,True
298,pendlng,federal,water,pollutlon,control,water,True
299,federal,water,pollutlon,control,act,pollution,False
300,water,pollutlon,control,act,would,control,True
301,pollutlon,control,act,would,would,act,True
302,control,act,would,would,be,would,True
303,act,would,would,be,made,would,True
304,would,would,be,made,publlc,be,True
305,would,be,made,publlc,on,made,True
306,be,made,publlc,on,march,public,True
307,made,publlc,on,march,present,on,True
308,publlc,on,march,present,indications,march,True
309,on,march,present,indications,are,present,True
310,march,present,indications,are,conslderatlon,indications,True
311,present,indications,are,conslderatlon,by,are,True
312,indications,are,conslderatlon,by,the,consideration,False
313,are,conslderatlon,by,the,house,by,True
314,conslderatlon,by,the,house,rules,the,True
315,by,the,house,rules,commlttee,house,True
316,the,house,rules,commlttee,will,rules,True
317,house,rules,commlttee,will,take,committee,True
318,rules,commlttee,will,take,place,will,True
319,commlttee,will,take,place,prior,take,True
320,will,take,place,prior,to,place,True
321,take,place,prior,to,house,prior,True
322,place,prior,to,house,floor,to,True
323,prior,to,house,floor,the,house,True
324,to,house,floor,the,measure,floor,True
325,house,floor,the,measure,could,the,True
326,floor,the,measure,could,reach,measure,True
327,the,measure,could,reach,conference,could,True
328,measure,could,reach,conference,before,reach,True
329,could,reach,conference,before,a,conference,True
330,reach,conference,before,a,approved,before,True
331,conference,before,a,approved,leglslatlon,a,True
332,before,a,approved,leglslatlon,that,approved,True
333,a,approved,leglslatlon,that,would,legislation,False
334,approved,leglslatlon,that,would,requlre,that,True
335,leglslatlon,that,would,requlre,the,would,True
336,that,would,requlre,the,equal,require,False
337,would,requlre,the,equal,findings,the,True
338,requlre,the,equal,findings,of,equal,True
339,the,equal,findings,of,job,findings,True
340,equal,findings,of,job,prompt,of,True
341,findings,of,job,prompt,approval,job,True
342,of,job,prompt,approval,by,prompt,True
343,job,prompt,approval,by,both,approval,True
344,prompt,approval,by,both,houses,by,True
345,approval,by,both,houses,and,both,True
346,by,both,houses,and,the,houses,True
347,both,houses,and,the,senate,and,True
348,houses,and,the,senate,verslon,the,True
349,and,the,senate,verslon,of,senate,True
350,the,senate,verslon,of,the,version,True
351,senate,verslon,of,the,measure,of,True
352,verslon,of,the,measure,generally,the,True
353,of,the,measure,generally,mg,measure,True
354,the,measure,generally,mg,purvlew,generally,True
355,measure,generally,mg,purvlew,to,ing,True
356,generally,mg,purvlew,to,government,purview,False
357,mg,purvlew,to,government,and,to,True
358,purvlew,to,government,and,educatlonal,government,True
359,to,government,and,educatlonal,employees,and,True
360,government,and,educatlonal,employees,as,educational,False
361,and,educatlonal,employees,as,well,employees,True
362,educatlonal,employees,as,well,as,as,True
363,employees,as,well,as,reduclng,well,True
364,as,well,as,reduclng,from,as,True
365,well,as,reduclng,from,pd,reducing,False
366,as,reduclng,from,pd,m,from,True
367,reduclng,from,pd,m,jo,iz,False
368,from,pd,m,jo,the,to,False
369,pd,m,jo,the,number,vq,True
370,m,jo,the,number,of,the,True
371,jo,the,number,of,workers,number,True
372,the,number,of,workers,ln,of,True
373,number,of,workers,ln,a,workers,True
374,of,workers,ln,a,company,in,True
375,workers,ln,a,company,or,a,True
376,ln,a,company,or,a,company,True
377,a,company,or,a,consumer,or,True
378,company,or,a,consumer,protection,a,True
379,or,a,consumer,protection,agency,consumer,True
380,a,consumer,protection,agency,slderatlon,protection,True
381,consumer,protection,agency,slderatlon,rn,agency,True
382,protection,agency,slderatlon,rn,the,sideration,False
383,agency,slderatlon,rn,the,senate,in,False
384,slderatlon,rn,the,senate,government,the,True
385,rn,the,senate,government,operatlons,senate,True
386,the,senate,government,operatlons,subcommlttee,government,True
387,senate,government,operatlons,subcommlttee,on,operations,True
388,government,operatlons,subcommlttee,on,utlve,subcommittee,False
389,operatlons,subcommlttee,on,utlve,would,on,True
390,subcommlttee,on,utlve,would,establlsh,utive,False
391,on,utlve,would,establlsh,an,this,True
392,utlve,would,establlsh,an,gndependent,would,False
393,would,establlsh,an,gndependent,consumer,establish,True
394,establlsh,an,gndependent,consumer,prof,an,False
395,an,gndependent,consumer,prof,tectlon,independent,True
396,gndependent,consumer,prof,tectlon,agency,consumer,True
397,consumer,prof,tectlon,agency,authorlzed,tection,True
398,prof,tectlon,agency,authorlzed,m,agency,True
399,tectlon,agency,authorlzed,m,wntervene,authorized,False
400,agency,authorlzed,m,wntervene,on,to,False
401,authorlzed,m,wntervene,on,behalf,intervene,False
402,m,wntervene,on,behalf,of,on,True
403,wntervene,on,behalf,of,consumers,behalf,True
404,on,behalf,of,consumers,dn,of,True
405,behalf,of,consumers,dn,any,consumers,True
406,of,consumers,dn,any,federal,in,False
407,consumers,dn,any,federal,agency,any,True
408,dn,any,federal,agency,where,federal,True
409,any,federal,agency,where,busmess,agency,True
410,federal,agency,where,busmess,regulatlon,where,True
411,agency,where,busmess,regulatlon,generally,business,True
412,where,busmess,regulatlon,generally,rf,regulation,True
413,busmess,regulatlon,generally,rf,at,generally,True
414,regulatlon,generally,rf,at,in,is,False
415,generally,rf,at,in,the,at,True
416,rf,at,in,the,new,in,True
417,at,in,the,new,agency,the,True
418,in,the,new,agency,could,new,True
419,the,new,agency,could,seek,agency,True
420,new,agency,could,seek,judlclal,could,True
421,agency,could,seek,judlclal,revlew,seek,True
422,could,seek,judlclal,revlew,of,judicial,False
423,seek,judlclal,revlew,of,any,review,True
424,judlclal,revlew,of,any,clslon,of,True
425,revlew,of,any,clslon,by,any,True
426,of,any,clslon,by,a,cision,True
427,any,clslon,by,a,federal,by,True
428,clslon,by,a,federal,agency,a,True
429,by,a,federal,agency,that,federal,True
430,a,federal,agency,that,pl,agency,True
431,federal,agency,that,pl,consldered,that,True
432,agency,that,pl,consldered,to,is,True
433,that,pl,consldered,to,be,considered,False
434,pl,consldered,to,be,contrary,to,True
435,consldered,to,be,contrary,to,be,True
436,to,be,contrary,to,the,contrary,True
437,be,contrary,to,the,mnterests,to,True
438,contrary,to,the,mnterests,of,the,True
439,to,the,mnterests,of,cm,interests,False
440,the,mnterests,of,cm,jtotmz,of,True
441,mnterests,of,cm,jtotmz,t,cma,True
442,of,cm,jtotmz,t,d,ltrdky,False
443,cm,jtotmz,t,d,we,t,False
444,jtotmz,t,d,we,have,s,False
445,t,d,we,have,burdensome,we,True
446,d,we,have,burdensome,make,have,True
447,we,have,burdensome,make,known,burdensome,True
448,have,burdensome,make,known,government,make,True
449,burdensome,make,known,government,alerted,known,True
450,make,known,government,alerted,mca,government,True
451,known,government,alerted,mca,leglslatlve,alerted,True
452,government,alerted,mca,leglslatlve,contacts,mca,True
453,alerted,mca,leglslatlve,contacts,to,legislative,False
454,mca,leglslatlve,contacts,to,the,contacts,True
455,leglslatlve,contacts,to,the,disruptive,to,True
456,contacts,to,the,disruptive,and,the,True
457,to,the,disruptive,and,effects,disruptive,True
458,the,disruptive,and,effects,of,and,True
459,disruptive,and,effects,of,thls,effects,True
460,and,effects,of,thls,suggestlng,of,True
461,effects,of,thls,suggestlng,that,this,True
462,of,thls,suggestlng,that,affected,suggesting,False
463,thls,suggestlng,that,affected,companles,that,True
464,suggestlng,that,affected,companles,thelr,affected,True
465,that,affected,companles,thelr,to,companies,True
466,affected,companles,thelr,to,members,their,False
467,companles,thelr,to,members,of,to,True
468,thelr,to,members,of,the,members,True
469,to,members,of,the,senate,of,True
470,members,of,the,senate,dperatlons,the,True
471,of,the,senate,dperatlons,up,senate,True
472,the,senate,dperatlons,up,thls,operations,False
473,senate,dperatlons,up,thls,mu,up,True
474,dperatlons,up,thls,mu,within,this,True
475,up,thls,mu,within,the,bill,False
476,thls,mu,within,the,next,within,True
477,mu,within,the,next,three,the,True
478,within,the,next,three,or,next,True
479,the,next,three,or,four,three,True
480,next,three,or,four,ownsmm,or,True
481,three,or,four,ownsmm,hearings,four,True
482,or,four,ownsmm,hearings,luvplementatlon,oversight,False
483,four,ownsmm,hearings,luvplementatlon,of,hearings,True
484,ownsmm,hearings,luvplementatlon,of,the,implementation,False
485,hearings,luvplementatlon,of,the,clean,of,True
486,luvplementatlon,of,the,clean,alr,the,True
487,of,the,clean,alr,act,clean,True
488,the,clean,alr,act,amendments,air,True
489,clean,alr,act,amendments,of,act,True
490,alr,act,amendments,of,bpvr,amendments,True
491,act,amendments,of,bpvr,were,of,True
492,amendments,of,bpvr,were,of,gfmx,False
493,of,bpvr,were,of,the,were,True
494,bpvr,were,of,the,house,of,True
495,were,of,the,house,commlttee,the,True
496,of,the,house,commlttee,on,house,True
497,the,house,commlttee,on,interstate,committee,True
498,house,commlttee,on,interstate,and,on,True
499,commlttee,on,interstate,and,forelgn,interstate,True
500,on,interstate,and,forelgn,commerce,and,True
501,interstate,and,forelgn,commerce,of,foreign,False
502,and,forelgn,commerce,of,the,commerce,True
503,forelgn,commerce,of,the,senate,of,True
504,commerce,of,the,senate,commlttee,the,True
505,of,the,senate,commlttee,on,senate,True
506,the,senate,commlttee,on,publlc,committee,True
507,senate,commlttee,on,publlc,partlcular,on,True
508,commlttee,on,publlc,partlcular,concern,public,True
509,on,publlc,partlcular,concern,was,particular,False
510,publlc,partlcular,concern,was,expressed,concern,True
511,partlcular,concern,was,expressed,by,was,True
512,concern,was,expressed,by,democratlc,expressed,True
513,was,expressed,by,democratlc,members,by,True
514,expressed,by,democratlc,members,of,democratic,True
515,by,democratlc,members,of,the,members,True
516,democratlc,members,of,the,to,of,True
517,members,of,the,to,the,the,True
518,of,the,to,the,bntent,to,True
519,the,to,the,bntent,of,the,True
520,to,the,bntent,of,the,intent,False
521,the,bntent,of,the,perslstently,of,True
522,bntent,of,the,perslstently,attacked,the,True
523,of,the,perslstently,attacked,was,persistently,False
524,the,perslstently,attacked,was,and,attacked,True
525,perslstently,attacked,was,and,submlttal,was,True
526,attacked,was,and,submlttal,of,and,True
527,was,and,submlttal,of,implementatlon,submittal,True
528,and,submlttal,of,implementatlon,had,of,True
529,submlttal,of,implementatlon,had,delayed,implementation,False
530,of,implementatlon,had,delayed,thelr,had,True
531,implementatlon,had,delayed,thelr,publlcatlon,delayed,True
532,had,delayed,thelr,publlcatlon,in,their,False
533,delayed,thelr,publlcatlon,in,order,publication,False
534,thelr,publlcatlon,in,order,to,in,True
535,publlcatlon,in,order,to,revlse,order,True
536,in,order,to,revlse,he,to,True
537,order,to,revlse,he,deleted,revise,False
538,to,revlse,he,deleted,wmpllcatlons,he,True
539,revlse,he,deleted,wmpllcatlons,that,deleted,True
540,he,deleted,wmpllcatlons,that,approval,implications,False
541,deleted,wmpllcatlons,that,approval,of,that,True
542,wmpllcatlons,that,approval,of,state,approval,True
543,that,approval,of,state,plans,of,True
544,approval,of,state,plans,would,state,True
545,of,state,plans,would,depend,plans,True
546,state,plans,would,depend,on,would,True
547,plans,would,depend,on,dncluslon,depend,True
548,would,depend,on,dncluslon,of,on,True
549,depend,on,dncluslon,of,speclfled,inclusion,False
550,on,dncluslon,of,speclfled,regulatory,of,True
551,dncluslon,of,speclfled,regulatory,provlslons,specified,False
552,of,speclfled,regulatory,provlslons,and,regulatory,True
553,speclfled,regulatory,provlslons,and,clearly,provisions,False
554,regulatory,provlslons,and,clearly,identified,and,True
555,provlslons,and,clearly,identified,them,clearly,True
556,and,clearly,identified,them,as,identified,True
557,clearly,identified,them,as,posslble,them,True
558,identified,them,as,posslble,state,as,True
559,them,as,posslble,state,thus,possible,True
560,as,posslble,state,thus,allowlng,state,True
561,posslble,state,thus,allowlng,for,thus,True
562,state,thus,allowlng,for,natlve,allowing,False
563,thus,allowlng,for,natlve,control,for,True
564,allowlng,for,natlve,control,democrats,native,True
565,for,natlve,control,democrats,and,control,True
566,natlve,control,democrats,and,envlronmentallsts,democrats,True
567,control,democrats,and,envlronmentallsts,alleged,and,True
568,democrats,and,envlronmentallsts,alleged,thls,environmentalists,False
569,and,envlronmentallsts,alleged,thls,change,alleged,True
570,envlronmentallsts,alleged,thls,change,was,this,True
571,alleged,thls,change,was,the,change,True
572,thls,change,was,the,result,was,True
573,change,was,the,result,of,the,True
574,was,the,result,of,polltlcal,result,True
575,the,result,of,polltlcal,pressures,of,True
576,result,of,polltlcal,pressures,applled,political,False
577,of,polltlcal,pressures,applled,through,pressures,True
578,polltlcal,pressures,applled,through,ruckelshaus,applied,True
579,pressures,applled,through,ruckelshaus,defended,through,True
580,applled,through,ruckelshaus,defended,the,ruckelshaus,True
581,through,ruckelshaus,defended,the,legal,defended,True
582,ruckelshaus,defended,the,legal,and,the,True
583,defended,the,legal,and,technologlcal,legal,True
584,the,legal,and,technologlcal,soundness,and,True
585,legal,and,technologlcal,soundness,of,technological,False
586,and,technologlcal,soundness,of,ms,soundness,True
587,technologlcal,soundness,of,ms,as,of,True
588,soundness,of,ms,as,indicated,his,True
589,of,ms,as,indicated,in,as,True
590,ms,as,indicated,in,the,indicated,True
591,as,indicated,in,the,february,in,True
592,indicated,in,the,february,testlmony,the,True
593,in,the,february,testlmony,developed,february,True
594,the,february,testlmony,developed,by,testimony,False
595,february,testlmony,developed,by,our,developed,True
596,testlmony,developed,by,our,internatlonal,by,True
597,developed,by,our,internatlonal,trade,our,True
598,by,our,internatlonal,trade,commlttee,international,True
599,our,internatlonal,trade,commlttee,has,trade,True
600,internatlonal,trade,commlttee,has,been,committee,True
601,trade,commlttee,has,been,presented,has,True
602,commlttee,has,been,presented,to,been,True
603,has,been,presented,to,the,presented,True
604,been,presented,to,the,senate,to,True
605,presented,to,the,senate,subcommlttee,the,True
606,to,the,senate,subcommlttee,on,senate,True
607,the,senate,subcommlttee,on,forelgn,subcommittee,False
608,senate,subcommlttee,on,forelgn,commerce,on,True
609,subcommlttee,on,forelgn,commerce,and,foreign,False
610,on,forelgn,commerce,and,tourlsm,commerce,True
611,forelgn,commerce,and,tourlsm,zn,and,True
612,commerce,and,tourlsm,zn,connectlon,tourism,False
613,and,tourlsm,zn,connectlon,hlth,in,True
614,tourlsm,zn,connectlon,hlth,thelr,connection,True
615,zn,connectlon,hlth,thelr,hearlngs,with,False
616,connectlon,hlth,thelr,hearlngs,on,their,False
617,hlth,thelr,hearlngs,on,the,hearings,True
618,thelr,hearlngs,on,the,export,on,True
619,hearlngs,on,the,export,expanslon,the,True
620,on,the,export,expanslon,act,export,True
621,the,export,expanslon,act,of,expansion,False
622,export,expanslon,act,of,by,act,True
623,expanslon,act,of,by,letter,of,True
624,act,of,by,letter,on,by,True
625,of,by,letter,on,february,letter,True
626,by,letter,on,february,va,on,True
627,letter,on,february,va,to,february,True
